Energy [MeV],theta,D(Ca40-Ca42),D(Ca40-Ca44),D(Ca48-Ti48)
250,32.0,2.7±0.9ᵃ,1.3±1.0ᵈ,0.4±1.0ᶜ
250,32.0,,,1.3±1.2ᵃ
250,35.0,...,3.0±1.0ᵈ,2.7±1.1ᶜ
250,35.0,,,−0.2±1.5ᵃ
250,36.0,3.3±0.8ᵃ,,...
250,37.5,...,6.4±1.0ᵈ,4.1±1.0ᶜ
250,37.5,,,3.4±1.4
250,40.0,5.3±1.0ᵃ,5.7±0.8,4.3±0.7
250,42.0,...,6.1±1.0,5.0±1.0
250,44.0,5.4±1.0ᵃ,8.0±0.8,5.4±0.8
250,46.0,...,8.7±1.0,6.1±1.0
250,48.0,8.2±1.0,12.3±0.9,3.4±1.0
250,50.0,8.5±1.5,9.1±0.9,−7.2±0.7
250,52.0,5.2±1.0,5.8±0.7,−16.1±1.5
250,54.0,0.4±1.4,−4.8±1.0,−19.3±1.5
250,56.0,−2.9±1.5,−8.7±1.1,−19.9±1.5
250,58.0,...,...,−16.1±1.4
250,60.0,−1.0±1.0,−9.0±1.1,−10.5±1.2
250,62.0,...,...,−7.4±1.2
250,64.0,−0.4±1.3,−5.7±1.0,−4.8±1.2
250,66.0,...,...,−1.1±1.5
250,68.0,−0.1±1.3,−4.4±1.5,1.8±1.4
250,70.0,...,...,4.0±1.4
250,72.0,2.3±1.5,−0.5±1.0,5.5±1.4
250,74.0,...,...,11.4±2.0
250,76.0,3.9±1.5,0.3±1.5,8.6±1.4
250,80.0,6.5±1.4,4.0±2.0,17.5±1.4
250,84.0,10.3±2.4,,...
250,85.0,...,5.6±2.4,20.9±2.4
250,90.0,...,12.5±3.1,34.9±3.0
