54Fe,1255.849(63),1260.011(48),1260.011(45)
56Fe,1252.919(58),1257.047(44),1257.054(42)
57Fe,1251.823(73),1255.896(56),1255.921(51)
58Fe,1250.381(67),1254.460(54),1254.485(49)
59Co,1336.553(65),1341.500(50),1341.461(46)
58Ni,1427.112(60),1432.534(46),1432.564(44)
60Ni,1423.860(58),1429.360(45),1429.369(43)
61Ni,1422.849(69),1428.397(54),1428.393(49)
62Ni,1421.342(59),1426.814(45),1426.829(43)
64Ni,1419.708(63),1425.226(49),1425.229(46)
63Cu,1508.052(60),1514.452(47),1514.433(44)
65Cu,1506.147(62),1512.534(49),1512.516(45)
64Zn,1595.528(59),1602.709(47),1602.718(44)
66Zn,1593.313(61),1600.553(45),1600.544(43)
68Zn,1591.573(60),1598.760(46),1598.763(44)
70Zn,1589.863(180),1596.817(131),1596.898(109)
