39K,713.118(32),0.145,5.324,3.5681,3.4378,2.114,0.064,-0.0499,4.4073(16),-0.2276,10.666(7)
41K,712.769(28),0.150,5.305,3.5956,3.4549,2.114,0.064,-0.0499,4.4293(14),-0.2276,10.767(6)
40Ca,784.180(25),0.170,5.907,3.6377,3.4813,2.114,0.065,-0.0420,4.4626(10),-0.1922,10.879(5)
42Ca,783.369(29),0.196,5.891,3.6858,3.5115,2.114,0.065,-0.0420,4.5016(12),-0.1922,11.057(6)
43Ca,783.811(27),0.181,5.897,3.6643,3.4980,2.114,0.065,-0.0420,4.4841(11),-0.1922,10.977(5)
44Ca,783.156(26),0.205,5.886,3.7015,3.5214,2.114,0.065,-0.0420,4.5143(11),-0.1922,11.116(5)
46Ca,783.817(107),0.208,5.897,3.6713,3.5024,2.114,0.065,-0.0420,4.4898(45),-0.1922,11.003(21)
48Ca,784.487(26),0.190,5.905,3.6393,3.4823,2.114,0.065,-0.0420,4.4639(11),-0.1922,10.884(5)
45Sc,856.995(28),0.233,6.489,3.7465,3.5498,2.116,0.066,-0.0356,4.5505(10),-0.1649,11.270(5)
46Ti,931.994(26),0.285,7.093,3.8401,3.6094,2.118,0.068,-0.0307,4.6261(8),-0.1419,11.563(4)
47Ti,932.474(25),0.265,7.099,3.8230,3.5984,2.118,0.068,-0.0307,4.6120(8),-0.1419,11.498(4)
48Ti,932.652(26),0.284,7.103,3.8185,3.5956,2.118,0.068,-0.0307,4.6083(8),-0.1419,11.481(4)
49Ti,933.426(33),0.237,7.113,3.7892,3.5770,2.118,0.068,-0.0307,4.5843(10),-0.1419,11.370(5)
50Ti,933.588(26),0.253,7.114,3.7851,3.5743,2.118,0.068,-0.0307,4.5809(8),-0.1419,11.354(4)
51V,1012.201(26),0.296,7.758,3.8307,3.6033,2.116,0.069,-0.0265,4.6173(7),-0.1219,11.448(3)
50Cr,1091.178(27),0.392,8.391,3.9262,3.6645,2.115,0.071,-0.0232,4.6947(6),-0.1063,11.698(3)
52Cr,1092.286(21),0.353,8.408,3.8962,3.6452,2.115,0.071,-0.0232,4.6698(5),-0.1063,11.584(2)
53Cr,1091.381(25),0.342,8.391,3.9222,3.6620,2.115,0.071,-0.0232,4.6914(6),-0.1063,11.683(3)
54Cr,1089.888(31),0.386,8.366,3.9661,3.6902,2.115,0.071,-0.0232,4.7278(7),-0.1063,11.850(3)
55Mn,1172.854(34),0.396,9.041,3.9962,3.7096,2.120,0.072,-0.0203,4.7527(7),-0.0945,11.999(3)
56Fe,1257.042(25),0.459,9.715,4.0449,3.7412,2.121,0.074,-0.0181,4.7921(5),-0.0834,12.102(2)
