41K-39K,22.0(1.2),17.1(3.9)
42Ca-40Ca,38.9(0.7),30.0(1.0)a
44Ca-42Ca,12.8(0.7),11.4(1.6)a
46Ca-44Ca,-24.5(4.5),-18.9(6.5)
48Ca-46Ca,-26.0(4.5),-20.2(6.5)
48Ti-46Ti,-17.8(0.7),-15.2(0.9)a
50Ti-48Ti,-27.4(0.7),-22.8(1.2)a
52Cr-50Cr,-24.9(0.5),-21.2(0.7)a
54Cr-52Cr,58.0(0.5),46.6(0.7)a
46Ti-44Ca,111.8(1.3),89.6(2.1)a
48Ti-46Ca,118.5(4.6),93.1(6.6)
50Ti-48Ca,117.0(1.3),93.7(1.4)a
50Cr-48Ti,86.4(1.1),68.9(3.9)
52Cr-50Ti,88.9(0.8),70.9(3.6)
56Fe-54Cr,64.3(0.7),51.0(3.5)
43Ca-42Ca,-17.4(0.7),-13.6(3.5)
44Ca-43Ca,30.2(0.6),23.4(3.5)
47Ti-46Ti,-14.1(0.6),-11.0(3.5)
48Ti-47Ti,-3.7(0.6),-2.8(3.5)
49Ti-48Ti,-24.0(0.8),-18.6(3.6)
50Ti-49Ti,-3.4(0.8),-2.7(3.6)
53Cr-52Cr,21.6(0.4),16.8(3.3)
54Cr-53Cr,36.4(0.5),28.2(3.4)
40Ca-39K,55.3(2.0),43.6(4.6)
42Ca-41K,72.3(2.0),56.7(4.6)
45Sc-44Ca,36.2(1.3),28.4(4.0)
46Ti-45Sc,75.6(1.0),59.6(3.8)
51V-50Ti,36.4(1.0),29.0(3.7)
52Cr-51V,52.5(0.6),41.9(3.5)
55Mn-54Cr,24.9(0.6),19.4(3.5)
56Fe-55Mn,39.4(0.6),31.6(3.5)
